date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:46:22	472/472	---M-Z	200	added ('OK')	text/plain	date:Thu,%2009%20Nov%202017%2007:46:20%20GMT	https://twitter.com/robots.txt		(from )
01:46:22	345490/345490	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Nov%202017%2007:46:20%20GMT	https://twitter.com/	C:/My%20Web%20Sites/Twitter/twitter.com/index.html	(from )
01:46:22	182060/182060	---M-Z	200	added ('OK')	text/css	etag:%22i63XQ3Bdzt8btwWCxd3mUQ==%22	https://abs.twimg.com/a/1510170130/css/t1/twitter_core.bundle.css	C:/My%20Web%20Sites/Twitter/abs.twimg.com/a/1510170130/css/t1/twitter_core.bundle.css	(from https://twitter.com/)
01:46:22	222755/222755	---M-Z	200	added ('OK')	text/css	etag:%22tN+W5K5ysAI/Fzz8bK3pQg==%22	https://abs.twimg.com/a/1510170130/css/t1/twitter_more_1.bundle.css	C:/My%20Web%20Sites/Twitter/abs.twimg.com/a/1510170130/css/t1/twitter_more_1.bundle.css	(from https://twitter.com/)
01:46:22	222616/222616	---M-Z	200	added ('OK')	text/css	etag:%22U2zISe34+fuZR6w9Co5TPA==%22	https://abs.twimg.com/a/1510170130/css/t1/twitter_more_2.bundle.css	C:/My%20Web%20Sites/Twitter/abs.twimg.com/a/1510170130/css/t1/twitter_more_2.bundle.css	(from https://twitter.com/)
01:46:23	507139/507139	---M-Z	200	added ('OK')	application/javascript	etag:%22AxXT6WvC3zhrZeW1OSFZ3Q==%22	https://abs.twimg.com/k/en/init.en.035b1af7992a87afbd8f.js	C:/My%20Web%20Sites/Twitter/abs.twimg.com/k/en/init.en.035b1af7992a87afbd8f.js	(from https://twitter.com/)
01:46:23	968507/968507	---M-Z	200	added ('OK')	application/javascript	etag:%228RTVNE6oaA6h+utsU/WAmQ==%22	https://abs.twimg.com/k/en/0.commons.en.cab28dfda297265ce140.js	C:/My%20Web%20Sites/Twitter/abs.twimg.com/k/en/0.commons.en.cab28dfda297265ce140.js	(from https://twitter.com/)
01:46:23	2113/2113	---M--	200	added ('OK')	image/png	etag:%22xKoRPNg9Gbfwy1GNNLUoaw==%22	https://abs.twimg.com/icons/apple-touch-icon-192x192.png	C:/My%20Web%20Sites/Twitter/abs.twimg.com/icons/apple-touch-icon-192x192.png	(from https://twitter.com/)
01:46:23	336/336	---MCZ	200	added ('OK')	application/json	etag:1c7521138bf4576d371659152e30f45e	https://twitter.com/manifest.json	C:/My%20Web%20Sites/Twitter/twitter.com/json.json	(from https://twitter.com/)
01:46:24	343680/343680	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Nov%202017%2007:46:22%20GMT	https://twitter.com/i/hello	C:/My%20Web%20Sites/Twitter/twitter.com/i/hello.html	(from https://twitter.com/)
